Cluster,Number of Molecules,Number of Unique Scaffolds,iSIM of Unique Scaffolds,iSIM
1,921,184,0.5321310235973432,0.7504274890561315
2,647,62,0.5364717538161611,0.6709017162483513
3,635,149,0.5272706047948054,0.7547449826068664
4,459,188,0.5668011153040059,0.7145781247777276
5,395,83,0.5240065572420879,0.6802029458076978
6,391,170,0.6177785494407017,0.7688696481818154
7,333,29,0.614307958035889,0.7248804068349777
8,295,51,0.7116623817334944,0.8091428501795255
9,283,145,0.5543897566329877,0.7125385307131564
10,283,123,0.541140730847759,0.725460510990916
11,270,61,0.5632855147898946,0.6608017948657121
12,263,41,0.6110517452148713,0.8373365654387509
13,253,42,0.46734267819862807,0.6562462497806824
14,238,136,0.5541163682892759,0.6667978395067201
15,227,96,0.5056130526033529,0.6670342399809803
16,223,113,0.6156161794382943,0.7495120387755827
17,222,33,0.55033515520264,0.708615774469433
18,213,53,0.5149668041508616,0.6865673885173083
19,205,45,0.46921641791044777,0.7696997906966233
20,187,30,0.4210081406624815,0.6742965869987997
